student_id,subject,test_number,score,best_subject,average_score
1023,Math,3,15,Social Studies,70.66666667
1023,Social Studies,1,98,Social Studies,70.66666667
1023,Social Studies,2,82,Social Studies,70.66666667
1023,Social Studies,3,32,Social Studies,70.66666667
1023,Coding,Average,66.66666667,Social Studies,70.66666667
1023,Math,Average,61.33333333,Social Studies,70.66666667
1023,Social Studies,Average,70.66666667,Social Studies,70.66666667
1024,Coding,1,1,Social Studies,51
1024,Coding,2,59,Social Studies,51
1024,Coding,3,32,Social Studies,51
1024,Math,1,43,Social Studies,51
1024,Math,2,28,Social Studies,51
1024,Math,3,36,Social Studies,51
1024,Social Studies,1,25,Social Studies,51
1024,Social Studies,2,38,Social Studies,51
1024,Social Studies,3,90,Social Studies,51
1024,Coding,Average,30.66666667,Social Studies,51
1024,Math,Average,35.66666667,Social Studies,51
1024,Social Studies,Average,51,Social Studies,51
1025,Coding,1,4,Math,51.66666667
1025,Coding,2,14,Math,51.66666667
1025,Coding,3,38,Math,51.66666667
1025,Math,1,15,Math,51.66666667
1025,Math,2,69,Math,51.66666667
1025,Math,3,71,Math,51.66666667
1025,Social Studies,1,2,Math,51.66666667
1025,Social Studies,2,43,Math,51.66666667
1025,Social Studies,3,89,Math,51.66666667
1025,Coding,Average,18.66666667,Math,51.66666667
1025,Math,Average,51.66666667,Math,51.66666667
1025,Social Studies,Average,44.66666667,Math,51.66666667
1026,Coding,1,69,Math,84
1026,Coding,2,29,Math,84
1026,Coding,3,83,Math,84
1026,Math,1,72,Math,84
1026,Math,2,99,Math,84
1026,Math,3,81,Math,84
1026,Social Studies,1,25,Math,84
1026,Social Studies,2,83,Math,84
1026,Social Studies,3,65,Math,84
1026,Coding,Average,60.33333333,Math,84
1026,Math,Average,84,Math,84
1026,Social Studies,Average,57.66666667,Math,84
1027,Coding,1,14,Math,68.33333333
1027,Coding,2,37,Math,68.33333333
1027,Coding,3,91,Math,68.33333333
1027,Math,1,66,Math,68.33333333
1027,Math,2,81,Math,68.33333333
1027,Math,3,58,Math,68.33333333
1027,Social Studies,1,46,Math,68.33333333
1027,Social Studies,2,29,Math,68.33333333
1027,Social Studies,3,16,Math,68.33333333
1027,Coding,Average,47.33333333,Math,68.33333333
1027,Math,Average,68.33333333,Math,68.33333333
1027,Social Studies,Average,30.33333333,Math,68.33333333
1028,Coding,1,28,Social Studies,59.66666667
1028,Coding,2,26,Social Studies,59.66666667
1028,Coding,3,69,Social Studies,59.66666667
1028,Math,1,34,Social Studies,59.66666667
1028,Math,2,45,Social Studies,59.66666667
1028,Math,3,68,Social Studies,59.66666667
1028,Social Studies,1,49,Social Studies,59.66666667
1028,Social Studies,2,77,Social Studies,59.66666667
1028,Social Studies,3,53,Social Studies,59.66666667
1028,Coding,Average,41,Social Studies,59.66666667
1028,Math,Average,49,Social Studies,59.66666667
1028,Social Studies,Average,59.66666667,Social Studies,59.66666667
1029,Coding,1,62,Social Studies,76.66666667
1029,Coding,2,93,Social Studies,76.66666667
1029,Coding,3,10,Social Studies,76.66666667
1029,Math,1,63,Social Studies,76.66666667
1029,Math,2,16,Social Studies,76.66666667
1029,Math,3,36,Social Studies,76.66666667
1029,Social Studies,1,59,Social Studies,76.66666667
1029,Social Studies,2,85,Social Studies,76.66666667
1029,Social Studies,3,86,Social Studies,76.66666667
1029,Coding,Average,55,Social Studies,76.66666667
1029,Math,Average,38.33333333,Social Studies,76.66666667
1029,Social Studies,Average,76.66666667,Social Studies,76.66666667
1030,Coding,1,38,Math,66.66666667
1030,Coding,2,85,Math,66.66666667
1030,Coding,3,1,Math,66.66666667
1030,Math,1,89,Math,66.66666667
1030,Math,2,53,Math,66.66666667
1030,Math,3,58,Math,66.66666667
1030,Social Studies,1,23,Math,66.66666667
1030,Social Studies,2,9,Math,66.66666667
1030,Social Studies,3,90,Math,66.66666667
1030,Coding,Average,41.33333333,Math,66.66666667
1030,Math,Average,66.66666667,Math,66.66666667
1030,Social Studies,Average,40.66666667,Math,66.66666667
1031,Coding,1,19,Coding,70
1031,Coding,2,99,Coding,70
1031,Coding,3,92,Coding,70
1031,Math,1,25,Coding,70
1031,Math,2,13,Coding,70
1031,Math,3,79,Coding,70
1031,Social Studies,1,74,Coding,70
1031,Social Studies,2,82,Coding,70
1031,Social Studies,3,7,Coding,70
1031,Coding,Average,70,Coding,70
1031,Math,Average,39,Coding,70
1031,Social Studies,Average,54.33333333,Coding,70
1032,Coding,1,46,Social Studies,60
1032,Coding,2,36,Social Studies,60
1032,Coding,3,20,Social Studies,60
1032,Math,1,3,Social Studies,60
1032,Math,2,44,Social Studies,60
1032,Math,3,0,Social Studies,60
1032,Social Studies,1,52,Social Studies,60
1032,Social Studies,2,72,Social Studies,60
1032,Social Studies,3,56,Social Studies,60
1032,Coding,Average,34,Social Studies,60
1032,Math,Average,15.66666667,Social Studies,60
1032,Social Studies,Average,60,Social Studies,60
1033,Coding,1,71,Coding,68.66666667
1033,Coding,2,44,Coding,68.66666667
1033,Coding,3,91,Coding,68.66666667
1033,Math,1,80,Coding,68.66666667
1033,Math,2,19,Coding,68.66666667
1033,Math,3,70,Coding,68.66666667
1033,Social Studies,1,11,Coding,68.66666667
1033,Social Studies,2,63,Coding,68.66666667
1033,Social Studies,3,62,Coding,68.66666667
1033,Coding,Average,68.66666667,Coding,68.66666667
1033,Math,Average,56.33333333,Coding,68.66666667
1033,Social Studies,Average,45.33333333,Coding,68.66666667
1034,Coding,1,30,Social Studies,46
1034,Coding,2,56,Social Studies,46
1034,Coding,3,46,Social Studies,46
1034,Math,1,44,Social Studies,46
1034,Math,2,28,Social Studies,46
1034,Math,3,46,Social Studies,46
1034,Social Studies,1,69,Social Studies,46
1034,Social Studies,2,45,Social Studies,46
1034,Social Studies,3,24,Social Studies,46
1034,Coding,Average,44,Social Studies,46
1034,Math,Average,39.33333333,Social Studies,46
1034,Social Studies,Average,46,Social Studies,46
1035,Coding,1,11,Math,65.33333333
1035,Coding,2,26,Math,65.33333333
1035,Coding,3,96,Math,65.33333333
1035,Math,1,70,Math,65.33333333
1035,Math,2,91,Math,65.33333333
1035,Math,3,35,Math,65.33333333
1035,Social Studies,1,46,Math,65.33333333
1035,Social Studies,2,56,Math,65.33333333
1035,Social Studies,3,50,Math,65.33333333
1035,Coding,Average,44.33333333,Math,65.33333333
1035,Math,Average,65.33333333,Math,65.33333333
1035,Social Studies,Average,50.66666667,Math,65.33333333
1036,Coding,1,30,Math,56.33333333
1036,Coding,2,42,Math,56.33333333
1036,Coding,3,48,Math,56.33333333
1036,Math,1,92,Math,56.33333333
1036,Math,2,6,Math,56.33333333
1036,Math,3,71,Math,56.33333333
1036,Social Studies,1,14,Math,56.33333333
1036,Social Studies,2,87,Math,56.33333333
1036,Social Studies,3,55,Math,56.33333333
1036,Coding,Average,40,Math,56.33333333
1036,Math,Average,56.33333333,Math,56.33333333
1036,Social Studies,Average,52,Math,56.33333333
1037,Coding,1,12,Social Studies,53.66666667
1037,Coding,2,75,Social Studies,53.66666667
1037,Coding,3,65,Social Studies,53.66666667
1037,Math,1,19,Social Studies,53.66666667
1037,Math,2,74,Social Studies,53.66666667
1037,Math,3,60,Social Studies,53.66666667
1037,Social Studies,1,64,Social Studies,53.66666667
1037,Social Studies,2,95,Social Studies,53.66666667
1037,Social Studies,3,2,Social Studies,53.66666667
1037,Coding,Average,50.66666667,Social Studies,53.66666667
1037,Math,Average,51,Social Studies,53.66666667
1037,Social Studies,Average,53.66666667,Social Studies,53.66666667
1038,Coding,1,13,Coding,58.33333333
1038,Coding,2,65,Coding,58.33333333
1038,Coding,3,97,Coding,58.33333333
1038,Math,1,33,Coding,58.33333333
1038,Math,2,99,Coding,58.33333333
1038,Math,3,6,Coding,58.33333333
1038,Social Studies,1,13,Coding,58.33333333
1038,Social Studies,2,49,Coding,58.33333333
1038,Social Studies,3,95,Coding,58.33333333
1038,Coding,Average,58.33333333,Coding,58.33333333
1038,Math,Average,46,Coding,58.33333333
1038,Social Studies,Average,52.33333333,Coding,58.33333333
1039,Coding,1,13,Social Studies,41.66666667
1039,Coding,2,54,Social Studies,41.66666667
1039,Coding,3,11,Social Studies,41.66666667
1039,Math,1,57,Social Studies,41.66666667
1039,Math,2,49,Social Studies,41.66666667
1039,Math,3,9,Social Studies,41.66666667
1039,Social Studies,1,36,Social Studies,41.66666667
1039,Social Studies,2,3,Social Studies,41.66666667
1039,Social Studies,3,86,Social Studies,41.66666667
1039,Coding,Average,26,Social Studies,41.66666667
1039,Math,Average,38.33333333,Social Studies,41.66666667
1039,Social Studies,Average,41.66666667,Social Studies,41.66666667
1040,Coding,1,93,Coding,90.33333333
1040,Coding,2,84,Coding,90.33333333
1040,Coding,3,94,Coding,90.33333333
1040,Math,1,57,Coding,90.33333333
1040,Math,2,3,Coding,90.33333333
1040,Math,3,60,Coding,90.33333333
1040,Social Studies,1,69,Coding,90.33333333
1040,Social Studies,2,62,Coding,90.33333333
1040,Social Studies,3,67,Coding,90.33333333
1040,Coding,Average,90.33333333,Coding,90.33333333
1040,Math,Average,40,Coding,90.33333333
1040,Social Studies,Average,66,Coding,90.33333333
1041,Coding,1,70,Math,83.33333333
1041,Coding,2,54,Math,83.33333333
1041,Coding,3,7,Math,83.33333333
1041,Math,1,93,Math,83.33333333
1041,Math,2,80,Math,83.33333333
1041,Math,3,77,Math,83.33333333
1041,Social Studies,1,39,Math,83.33333333
1041,Social Studies,2,40,Math,83.33333333
1041,Social Studies,3,28,Math,83.33333333
1041,Coding,Average,43.66666667,Math,83.33333333
1041,Math,Average,83.33333333,Math,83.33333333
1041,Social Studies,Average,35.66666667,Math,83.33333333
1042,Coding,1,100,Coding,80.66666667
1042,Coding,2,76,Coding,80.66666667
1042,Coding,3,66,Coding,80.66666667
1042,Math,1,63,Coding,80.66666667
1042,Math,2,27,Coding,80.66666667
1042,Math,3,27,Coding,80.66666667
1042,Social Studies,1,91,Coding,80.66666667
1042,Social Studies,2,4,Coding,80.66666667
1042,Social Studies,3,19,Coding,80.66666667
1042,Coding,Average,80.66666667,Coding,80.66666667
1042,Math,Average,39,Coding,80.66666667
1042,Social Studies,Average,38,Coding,80.66666667
1043,Coding,1,83,Coding,85.33333333
1043,Coding,2,91,Coding,85.33333333
1043,Coding,3,82,Coding,85.33333333
1043,Math,1,28,Coding,85.33333333
1043,Math,2,96,Coding,85.33333333
1043,Math,3,73,Coding,85.33333333
1043,Social Studies,1,6,Coding,85.33333333
1043,Social Studies,2,19,Coding,85.33333333
1043,Social Studies,3,55,Coding,85.33333333
1043,Coding,Average,85.33333333,Coding,85.33333333
1043,Math,Average,65.66666667,Coding,85.33333333
1043,Social Studies,Average,26.66666667,Coding,85.33333333
1044,Coding,1,92,Coding,57.66666667
1044,Coding,2,36,Coding,57.66666667
1044,Coding,3,45,Coding,57.66666667
1044,Math,1,39,Coding,57.66666667
1044,Math,2,55,Coding,57.66666667
1044,Math,3,10,Coding,57.66666667
1044,Social Studies,1,38,Coding,57.66666667
1044,Social Studies,2,24,Coding,57.66666667
1044,Social Studies,3,50,Coding,57.66666667
1044,Coding,Average,57.66666667,Coding,57.66666667
1044,Math,Average,34.66666667,Coding,57.66666667
1044,Social Studies,Average,37.33333333,Coding,57.66666667
1045,Coding,1,17,Coding,50
1045,Coding,2,46,Coding,50
1045,Coding,3,87,Coding,50
1045,Math,1,62,Coding,50
1045,Math,2,32,Coding,50
1045,Math,3,11,Coding,50
1045,Social Studies,1,3,Coding,50
1045,Social Studies,2,84,Coding,50
1045,Social Studies,3,56,Coding,50
1045,Coding,Average,50,Coding,50
1045,Math,Average,35,Coding,50
1045,Social Studies,Average,47.66666667,Coding,50
1046,Coding,1,27,Social Studies,70.66666667
1046,Coding,2,61,Social Studies,70.66666667
1046,Coding,3,73,Social Studies,70.66666667
1046,Math,1,82,Social Studies,70.66666667
1046,Math,2,15,Social Studies,70.66666667
1046,Math,3,24,Social Studies,70.66666667
1046,Social Studies,1,44,Social Studies,70.66666667
1046,Social Studies,2,97,Social Studies,70.66666667
1046,Social Studies,3,71,Social Studies,70.66666667
1046,Coding,Average,53.66666667,Social Studies,70.66666667
1046,Math,Average,40.33333333,Social Studies,70.66666667
1046,Social Studies,Average,70.66666667,Social Studies,70.66666667
1047,Coding,1,63,Social Studies,48
1047,Coding,2,20,Social Studies,48
1047,Coding,3,19,Social Studies,48
1047,Math,1,78,Social Studies,48
1047,Math,2,23,Social Studies,48
1047,Math,3,0,Social Studies,48
1047,Social Studies,1,49,Social Studies,48
1047,Social Studies,2,62,Social Studies,48
1047,Social Studies,3,33,Social Studies,48
1047,Coding,Average,34,Social Studies,48
1047,Math,Average,33.66666667,Social Studies,48
1047,Social Studies,Average,48,Social Studies,48
1048,Coding,1,21,Math,62.66666667
1048,Coding,2,44,Math,62.66666667
1048,Coding,3,4,Math,62.66666667
1048,Math,1,56,Math,62.66666667
1048,Math,2,74,Math,62.66666667
1048,Math,3,58,Math,62.66666667
1048,Social Studies,1,33,Math,62.66666667
1048,Social Studies,2,11,Math,62.66666667
1048,Social Studies,3,29,Math,62.66666667
1048,Coding,Average,23,Math,62.66666667
1048,Math,Average,62.66666667,Math,62.66666667
1048,Social Studies,Average,24.33333333,Math,62.66666667
1049,Coding,1,27,Social Studies,37
1049,Coding,2,47,Social Studies,37
1049,Coding,3,13,Social Studies,37
1049,Math,1,35,Social Studies,37
1049,Math,2,19,Social Studies,37
1049,Math,3,30,Social Studies,37
1049,Social Studies,1,36,Social Studies,37
1049,Social Studies,2,16,Social Studies,37
1049,Social Studies,3,59,Social Studies,37
1049,Coding,Average,29,Social Studies,37
1049,Math,Average,28,Social Studies,37
1049,Social Studies,Average,37,Social Studies,37
1050,Coding,1,6,Math,42
1050,Coding,2,37,Math,42
1050,Coding,3,78,Math,42
1050,Math,1,0,Math,42
1050,Math,2,26,Math,42
1050,Math,3,100,Math,42
1050,Social Studies,1,23,Math,42
1050,Social Studies,2,27,Math,42
1050,Social Studies,3,5,Math,42
1050,Coding,Average,40.33333333,Math,42
1050,Math,Average,42,Math,42
1050,Social Studies,Average,18.33333333,Math,42
1051,Coding,1,46,Social Studies,78
1051,Coding,2,72,Social Studies,78
1051,Coding,3,67,Social Studies,78
1051,Math,1,6,Social Studies,78
1051,Math,2,10,Social Studies,78
1051,Math,3,60,Social Studies,78
1051,Social Studies,1,67,Social Studies,78
1051,Social Studies,2,77,Social Studies,78
1051,Social Studies,3,90,Social Studies,78
1051,Coding,Average,61.66666667,Social Studies,78
1051,Math,Average,25.33333333,Social Studies,78
1051,Social Studies,Average,78,Social Studies,78
1052,Coding,1,18,Social Studies,43.33333333
1052,Coding,2,51,Social Studies,43.33333333
1052,Coding,3,37,Social Studies,43.33333333
1052,Math,1,6,Social Studies,43.33333333
1052,Math,2,23,Social Studies,43.33333333
1052,Math,3,66,Social Studies,43.33333333
1052,Social Studies,1,53,Social Studies,43.33333333
1052,Social Studies,2,0,Social Studies,43.33333333
1052,Social Studies,3,77,Social Studies,43.33333333
1052,Coding,Average,35.33333333,Social Studies,43.33333333
1052,Math,Average,31.66666667,Social Studies,43.33333333
1052,Social Studies,Average,43.33333333,Social Studies,43.33333333
1053,Coding,1,57,Coding,70
1053,Coding,2,88,Coding,70
1053,Coding,3,65,Coding,70
1053,Math,1,59,Coding,70
1053,Math,2,3,Coding,70
1053,Math,3,14,Coding,70
1053,Social Studies,1,1,Coding,70
1053,Social Studies,2,56,Coding,70
1053,Social Studies,3,11,Coding,70
1053,Coding,Average,70,Coding,70
1053,Math,Average,25.33333333,Coding,70
1053,Social Studies,Average,22.66666667,Coding,70
1054,Coding,1,25,Social Studies,61.66666667
